Channel,energy,Counts
131,256.10948191593354,11
132,258.06451612903226,7
133,260.01955034213097,13
134,261.97458455522974,10
135,263.92961876832845,7
136,265.88465298142717,12
137,267.83968719452594,12
138,269.79472140762465,5
139,271.74975562072336,9
140,273.7047898338221,9
141,275.65982404692085,10
142,277.61485826001956,9
143,279.5698924731183,3
144,281.524926686217,9
145,283.47996089931576,1
146,285.43499511241447,11
147,287.3900293255132,12
148,289.34506353861195,9
149,291.30009775171067,10
150,293.2551319648094,7
151,295.2101661779081,5
152,297.16520039100686,9
153,299.1202346041056,6
154,301.0752688172043,5
155,303.03030303030306,11
156,304.9853372434018,8
157,306.9403714565005,5
158,308.8954056695992,8
159,310.85043988269797,6
160,312.8054740957967,6
161,314.7605083088954,5
162,316.71554252199417,20
163,318.6705767350929,13
164,320.6256109481916,10
165,322.5806451612903,11
166,324.5356793743891,10
167,326.4907135874878,7
168,328.4457478005865,11
169,330.4007820136853,13
170,332.355816226784,11
171,334.3108504398827,13
172,336.2658846529814,18
173,338.2209188660802,9
174,340.1759530791789,10
175,342.1309872922776,11
176,344.0860215053764,13
177,346.0410557184751,13
178,347.9960899315738,11
179,349.9511241446725,9
180,351.9061583577713,7
181,353.86119257087,7
182,355.8162267839687,11
183,357.77126099706743,12
184,359.7262952101662,8
185,361.6813294232649,14
186,363.6363636363636,11
187,365.5913978494624,9
188,367.5464320625611,10
189,369.5014662756598,10
190,371.45650048875854,18
191,373.4115347018573,9
192,375.366568914956,11
193,377.32160312805473,10
194,379.2766373411535,9
195,381.2316715542522,15
196,383.18670576735093,16
197,385.14173998044964,9
198,387.0967741935484,19
199,389.0518084066471,15
200,391.00684261974584,9
201,392.9618768328446,10
202,394.9169110459433,15
203,396.87194525904204,10
204,398.82697947214075,6
205,400.7820136852395,7
206,402.73704789833823,15
207,404.69208211143695,19
208,406.64711632453566,11
209,408.60215053763443,15
210,410.55718475073314,18
211,412.51221896383186,12
212,414.4672531769306,12
213,416.42228739002934,7
214,418.37732160312805,15
215,420.33235581622677,11
216,422.28739002932554,10
217,424.24242424242425,8
218,426.19745845552296,17
219,428.15249266862173,18
220,430.10752688172045,9
221,432.06256109481916,9
222,434.0175953079179,11
223,435.97262952101664,7
224,437.92766373411536,16
225,439.88269794721407,9
226,441.83773216031284,8
227,443.79276637341155,10
228,445.74780058651027,11
229,447.702834799609,16
230,449.65786901270775,12
231,451.61290322580646,13
232,453.5679374389052,5
233,455.52297165200395,16
234,457.47800586510266,10
235,459.4330400782014,7
236,461.3880742913001,6
237,463.34310850439886,10
238,465.29814271749757,8
239,467.2531769305963,14
240,469.20821114369505,7
241,471.16324535679377,8
242,473.1182795698925,7
243,475.0733137829912,10
244,477.02834799608996,2
245,478.9833822091887,11
246,480.9384164222874,7
247,482.8934506353861,11
248,484.8484848484849,8
249,486.8035190615836,8
250,488.7585532746823,12
251,490.71358748778107,9
252,492.6686217008798,8
253,494.6236559139785,15
254,496.5786901270772,9
255,498.533724340176,8
256,500.4887585532747,9
257,502.4437927663734,6
258,504.3988269794722,7
259,506.3538611925709,14
260,508.3088954056696,11
261,510.2639296187683,8
262,512.2189638318671,12
263,514.1739980449657,14
264,516.1290322580645,10
265,518.0840664711633,2
266,520.0391006842619,7
267,521.9941348973607,10
268,523.9491691104595,5
269,525.9042033235581,9
270,527.8592375366569,6
271,529.8142717497557,8
272,531.7693059628543,4
273,533.7243401759531,7
274,535.6793743890519,8
275,537.6344086021505,3
276,539.5894428152493,9
277,541.544477028348,8
278,543.4995112414467,12
279,545.4545454545455,1
280,547.4095796676442,9
281,549.3646138807429,10
282,551.3196480938417,5
283,553.2746823069403,9
284,555.2297165200391,9
285,557.1847507331379,11
286,559.1397849462365,7
287,561.0948191593353,10
288,563.049853372434,6
289,565.0048875855327,11
290,566.9599217986315,9
291,568.9149560117302,14
292,570.8699902248289,10
293,572.8250244379277,9
294,574.7800586510264,3
295,576.7350928641251,8
296,578.6901270772239,9
297,580.6451612903226,8
298,582.6001955034213,10
299,584.5552297165201,8
300,586.5102639296188,10
301,588.4652981427175,2
302,590.4203323558162,5
303,592.375366568915,5
304,594.3304007820137,5
305,596.2854349951124,7
306,598.2404692082112,3
307,600.1955034213099,6
308,602.1505376344086,7
309,604.1055718475073,11
310,606.0606060606061,13
311,608.0156402737048,7
312,609.9706744868035,2
313,611.9257086999023,6
314,613.880742913001,10
315,615.8357771260997,10
316,617.7908113391984,13
317,619.7458455522972,11
318,621.7008797653959,10
319,623.6559139784946,18
320,625.6109481915934,14
321,627.5659824046921,5
322,629.5210166177908,10
323,631.4760508308896,17
324,633.4310850439883,13
325,635.386119257087,14
326,637.3411534701858,10
327,639.2961876832844,13
328,641.2512218963832,4
329,643.206256109482,11
330,645.1612903225806,14
331,647.1163245356794,17
332,649.0713587487782,29
333,651.0263929618768,59
334,652.9814271749756,89
335,654.9364613880743,203
336,656.891495601173,332
337,658.8465298142718,410
338,660.8015640273705,477
339,662.7565982404692,537
340,664.711632453568,476
341,666.6666666666666,369
342,668.6217008797654,206
343,670.5767350928642,118
344,672.5317693059628,75
345,674.4868035190616,44
346,676.4418377321604,12
347,678.396871945259,16
348,680.3519061583578,5
349,682.3069403714566,11
350,684.2619745845552,16
351,686.217008797654,13
352,688.1720430107528,12
353,690.1270772238514,15
354,692.0821114369502,15
355,694.0371456500488,12
356,695.9921798631476,21
357,697.9472140762464,14
358,699.902248289345,16
359,701.8572825024438,11
360,703.8123167155426,17
361,705.7673509286412,7
362,707.72238514174,12
363,709.6774193548388,13
364,711.6324535679374,14
365,713.5874877810362,10
366,715.5425219941349,10
367,717.4975562072336,13
368,719.4525904203324,15
369,721.407624633431,15
370,723.3626588465298,16
371,725.3176930596286,14
372,727.2727272727273,10
373,729.227761485826,13
374,731.1827956989248,12
375,733.1378299120234,15
376,735.0928641251222,10
377,737.047898338221,11
378,739.0029325513196,14
379,740.9579667644184,6
380,742.9130009775171,7
381,744.8680351906158,7
382,746.8230694037146,9
383,748.7781036168133,10
384,750.733137829912,12
385,752.6881720430108,9
386,754.6432062561095,18
387,756.5982404692082,7
388,758.553274682307,12
389,760.5083088954057,6
390,762.4633431085044,14
391,764.4183773216031,7
392,766.3734115347019,7
393,768.3284457478006,12
394,770.2834799608993,7
395,772.238514173998,5
396,774.1935483870968,9
397,776.1485826001955,11
398,778.1036168132943,8
399,780.058651026393,15
400,782.0136852394917,7
401,783.9687194525904,7
402,785.9237536656892,10
403,787.8787878787879,13
404,789.8338220918866,9
405,791.7888563049853,8
406,793.7438905180841,10
407,795.6989247311828,13
408,797.6539589442815,15
409,799.6089931573803,9
410,801.564027370479,8
411,803.5190615835777,6
412,805.4740957966765,14
413,807.4291300097752,9
414,809.3841642228739,8
415,811.3391984359727,9
416,813.2942326490713,7
417,815.2492668621701,12
418,817.2043010752689,13
419,819.1593352883675,11
420,821.1143695014663,10
421,823.069403714565,13
422,825.0244379276637,12
423,826.9794721407625,11
424,828.9345063538613,8
425,830.8895405669599,9
426,832.8445747800587,4
427,834.7996089931574,9
428,836.7546432062561,8
429,838.7096774193549,10
430,840.6647116324535,4
431,842.6197458455523,10
432,844.5747800586511,10
433,846.5298142717497,8
434,848.4848484848485,10
435,850.4398826979473,13
436,852.3949169110459,6
437,854.3499511241447,6
438,856.3049853372435,4
439,858.2600195503421,8
440,860.2150537634409,8
441,862.1700879765397,5
442,864.1251221896383,9
443,866.0801564027371,13
444,868.0351906158357,8
445,869.9902248289345,6
446,871.9452590420333,11
447,873.9002932551319,3
448,875.8553274682307,5
449,877.8103616813295,5
450,879.7653958944281,10
451,881.7204301075269,4
452,883.6754643206257,12
453,885.6304985337243,10
454,887.5855327468231,6
455,889.5405669599218,5
456,891.4956011730205,9
457,893.4506353861193,16
458,895.405669599218,6
459,897.3607038123167,9
460,899.3157380254155,4
461,901.2707722385142,11
462,903.2258064516129,5
463,905.1808406647117,13
464,907.1358748778104,6
465,909.0909090909091,15
466,911.0459433040079,6
467,913.0009775171065,10
468,914.9560117302053,15
469,916.911045943304,5
470,918.8660801564027,16
471,920.8211143695015,8
472,922.7761485826002,6
473,924.7311827956989,8
474,926.6862170087977,15
475,928.6412512218964,11
476,930.5962854349951,12
477,932.5513196480939,12
478,934.5063538611926,9
479,936.4613880742913,12
480,938.4164222873901,12
481,940.3714565004888,5
482,942.3264907135875,11
483,944.2815249266862,12
484,946.236559139785,15
485,948.1915933528837,14
486,950.1466275659824,8
487,952.1016617790812,12
488,954.0566959921799,14
489,956.0117302052786,12
490,957.9667644183774,13
491,959.9217986314761,10
492,961.8768328445748,8
493,963.8318670576735,16
494,965.7869012707722,12
495,967.741935483871,2
496,969.6969696969697,9
497,971.6520039100684,12
498,973.6070381231672,10
499,975.5620723362659,11
500,977.5171065493646,11
501,979.4721407624634,6
502,981.4271749755621,12
503,983.3822091886608,18
504,985.3372434017596,11
505,987.2922776148583,17
506,989.247311827957,14
507,991.2023460410558,13
508,993.1573802541544,10
509,995.1124144672532,11
510,997.067448680352,10
511,999.0224828934506,14
512,1000.9775171065494,10
513,1002.9325513196482,15
514,1004.8875855327468,12
515,1006.8426197458456,15
516,1008.7976539589444,17
517,1010.752688172043,9
518,1012.7077223851418,11
519,1014.6627565982404,9
520,1016.6177908113392,11
521,1018.572825024438,9
522,1020.5278592375366,8
523,1022.4828934506354,11
524,1024.4379276637342,13
525,1026.392961876833,13
526,1028.3479960899315,11
527,1030.3030303030303,9
528,1032.258064516129,10
529,1034.2130987292278,17
530,1036.1681329423266,9
531,1038.1231671554253,17
532,1040.0782013685239,18
533,1042.0332355816226,11
534,1043.9882697947214,9
535,1045.9433040078202,22
536,1047.898338220919,12
537,1049.8533724340177,13
538,1051.8084066471163,8
539,1053.763440860215,7
540,1055.7184750733138,8
541,1057.6735092864126,10
542,1059.6285434995114,9
543,1061.58357771261,11
544,1063.5386119257087,13
545,1065.4936461388074,7
546,1067.4486803519062,13
547,1069.403714565005,11
548,1071.3587487781037,17
549,1073.3137829912023,9
550,1075.268817204301,10
551,1077.2238514173998,18
552,1079.1788856304986,12
553,1081.1339198435974,10
554,1083.088954056696,9
555,1085.0439882697947,8
556,1086.9990224828935,11
557,1088.9540566959922,14
558,1090.909090909091,10
559,1092.8641251221898,14
560,1094.8191593352883,9
561,1096.774193548387,8
562,1098.7292277614858,12
563,1100.6842619745846,8
564,1102.6392961876834,9
565,1104.594330400782,7
566,1106.5493646138807,9
567,1108.5043988269795,7
568,1110.4594330400782,12
569,1112.414467253177,4
570,1114.3695014662758,4
571,1116.3245356793743,12
572,1118.279569892473,8
573,1120.2346041055719,10
574,1122.1896383186706,10
575,1124.1446725317694,8
576,1126.099706744868,6
577,1128.0547409579667,10
578,1130.0097751710655,10
579,1131.9648093841643,5
580,1133.919843597263,6
581,1135.8748778103618,5
582,1137.8299120234603,13
583,1139.784946236559,3
584,1141.7399804496579,9
585,1143.6950146627566,9
586,1145.6500488758554,10
587,1147.6050830889542,11
588,1149.5601173020527,12
589,1151.5151515151515,8
590,1153.4701857282503,8
591,1155.425219941349,10
592,1157.3802541544478,8
593,1159.3352883675464,5
594,1161.2903225806451,7
595,1163.245356793744,11
596,1165.2003910068427,8
597,1167.1554252199414,8
598,1169.1104594330402,13
599,1171.0654936461387,5
600,1173.0205278592375,10
601,1174.9755620723363,6
602,1176.930596285435,10
603,1178.8856304985338,10
604,1180.8406647116324,9
605,1182.7956989247311,11
606,1184.75073313783,6
607,1186.7057673509287,4
608,1188.6608015640275,6
609,1190.6158357771262,4
610,1192.5708699902248,9
611,1194.5259042033235,8
612,1196.4809384164223,9
613,1198.435972629521,8
614,1200.3910068426198,8
615,1202.3460410557184,10
616,1204.3010752688172,9
617,1206.256109481916,5
618,1208.2111436950147,12
619,1210.1661779081135,12
620,1212.1212121212122,9
621,1214.0762463343108,7
622,1216.0312805474096,6
623,1217.9863147605083,7
624,1219.941348973607,6
625,1221.8963831867059,11
626,1223.8514173998046,4
627,1225.8064516129032,14
628,1227.761485826002,7
629,1229.7165200391007,7
630,1231.6715542521995,7
631,1233.6265884652983,11
632,1235.5816226783968,7
633,1237.5366568914956,9
634,1239.4916911045943,9
635,1241.446725317693,8
636,1243.4017595307919,9
637,1245.3567937438906,15
638,1247.3118279569892,10
639,1249.266862170088,9
640,1251.2218963831867,6
641,1253.1769305962855,12
642,1255.1319648093843,10
643,1257.0869990224828,6
644,1259.0420332355816,6
645,1260.9970674486804,16
646,1262.9521016617791,7
647,1264.907135874878,11
648,1266.8621700879767,11
649,1268.8172043010752,12
650,1270.772238514174,5
651,1272.7272727272727,13
652,1274.6823069403715,9
653,1276.6373411534703,19
654,1278.5923753665688,8
655,1280.5474095796676,14
656,1282.5024437927664,14
657,1284.4574780058651,20
658,1286.412512218964,11
659,1288.3675464320627,12
660,1290.3225806451612,10
661,1292.27761485826,17
662,1294.2326490713588,7
663,1296.1876832844575,13
664,1298.1427174975563,16
665,1300.097751710655,9
666,1302.0527859237536,13
667,1304.0078201368524,12
668,1305.9628543499512,16
669,1307.91788856305,9
670,1309.8729227761487,9
671,1311.8279569892472,8
672,1313.782991202346,16
673,1315.7380254154448,13
674,1317.6930596285436,12
675,1319.6480938416423,13
676,1321.603128054741,6
677,1323.5581622678396,15
678,1325.5131964809384,13
679,1327.4682306940372,10
680,1329.423264907136,11
681,1331.3782991202347,11
682,1333.3333333333333,10
683,1335.288367546432,14
684,1337.2434017595308,13
685,1339.1984359726296,11
686,1341.1534701857283,18
687,1343.108504398827,12
688,1345.0635386119257,11
689,1347.0185728250244,19
690,1348.9736070381232,15
691,1350.928641251222,14
692,1352.8836754643207,10
693,1354.8387096774193,15
694,1356.793743890518,10
695,1358.7487781036168,12
696,1360.7038123167156,5
697,1362.6588465298144,11
698,1364.6138807429131,9
699,1366.5689149560117,10
700,1368.5239491691104,9
701,1370.4789833822092,14
702,1372.434017595308,11
703,1374.3890518084067,11
704,1376.3440860215055,11
705,1378.299120234604,16
706,1380.2541544477028,10
707,1382.2091886608016,10
708,1384.1642228739004,12
709,1386.1192570869991,5
710,1388.0742913000977,13
711,1390.0293255131965,15
712,1391.9843597262952,10
713,1393.939393939394,14
714,1395.8944281524928,8
715,1397.8494623655915,9
716,1399.80449657869,8
717,1401.7595307917888,11
718,1403.7145650048876,6
719,1405.6695992179864,12
720,1407.6246334310852,11
721,1409.5796676441837,8
722,1411.5347018572825,13
723,1413.4897360703812,14
724,1415.44477028348,13
725,1417.3998044965788,9
726,1419.3548387096776,11
727,1421.309872922776,9
728,1423.2649071358749,14
729,1425.2199413489736,9
730,1427.1749755620724,9
731,1429.1300097751712,8
732,1431.0850439882697,4
733,1433.0400782013685,9
734,1434.9951124144673,8
735,1436.950146627566,7
736,1438.9051808406648,7
737,1440.8602150537636,10
738,1442.815249266862,9
739,1444.7702834799609,6
740,1446.7253176930597,9
741,1448.6803519061584,8
742,1450.6353861192572,9
743,1452.5904203323557,7
744,1454.5454545454545,9
745,1456.5004887585533,11
746,1458.455522971652,6
747,1460.4105571847508,11
748,1462.3655913978496,3
749,1464.3206256109481,9
750,1466.275659824047,9
751,1468.2306940371457,6
752,1470.1857282502444,13
753,1472.1407624633432,5
754,1474.095796676442,3
755,1476.0508308895405,8
756,1478.0058651026393,10
757,1479.960899315738,10
758,1481.9159335288368,9
759,1483.8709677419356,7
760,1485.8260019550341,12
761,1487.781036168133,6
762,1489.7360703812317,7
763,1491.6911045943305,8
764,1493.6461388074292,10
765,1495.601173020528,9
766,1497.5562072336265,8
767,1499.5112414467253,8
768,1501.466275659824,8
769,1503.4213098729228,4
770,1505.3763440860216,12
771,1507.3313782991202,4
772,1509.286412512219,8
773,1511.2414467253177,15
774,1513.1964809384165,1
775,1515.1515151515152,9
776,1517.106549364614,9
777,1519.0615835777126,10
778,1521.0166177908113,8
779,1522.97165200391,9
780,1524.9266862170089,7
781,1526.8817204301076,9
782,1528.8367546432062,10
783,1530.791788856305,6
784,1532.7468230694037,10
785,1534.7018572825025,10
786,1536.6568914956013,13
787,1538.6119257087,3
788,1540.5669599217986,16
789,1542.5219941348973,9
790,1544.477028347996,15
791,1546.4320625610949,7
792,1548.3870967741937,11
793,1550.3421309872924,9
794,1552.297165200391,11
795,1554.2521994134897,9
796,1556.2072336265885,14
797,1558.1622678396873,12
798,1560.117302052786,14
799,1562.0723362658846,10
800,1564.0273704789834,9
801,1565.9824046920821,9
802,1567.937438905181,10
803,1569.8924731182797,5
804,1571.8475073313784,7
805,1573.802541544477,5
806,1575.7575757575758,10
807,1577.7126099706745,11
808,1579.6676441837733,13
809,1581.622678396872,9
810,1583.5777126099706,15
811,1585.5327468230694,11
812,1587.4877810361681,12
813,1589.442815249267,13
814,1591.3978494623657,12
815,1593.3528836754645,16
816,1595.307917888563,18
817,1597.2629521016618,9
818,1599.2179863147605,15
819,1601.1730205278593,12
820,1603.128054740958,10
821,1605.0830889540566,14
822,1607.0381231671554,8
823,1608.9931573802542,7
824,1610.948191593353,10
825,1612.9032258064517,15
826,1614.8582600195505,15
827,1616.813294232649,20
828,1618.7683284457478,17
829,1620.7233626588466,7
830,1622.6783968719453,14
831,1624.633431085044,9
832,1626.5884652981426,9
833,1628.5434995112414,11
834,1630.4985337243402,17
835,1632.453567937439,16
836,1634.4086021505377,12
837,1636.3636363636365,14
838,1638.318670576735,12
839,1640.2737047898338,14
840,1642.2287390029326,15
841,1644.1837732160313,18
842,1646.13880742913,12
843,1648.0938416422289,12
844,1650.0488758553274,10
845,1652.0039100684262,10
846,1653.958944281525,16
847,1655.9139784946237,13
848,1657.8690127077225,13
849,1659.824046920821,15
850,1661.7790811339198,7
851,1663.7341153470186,12
852,1665.6891495601174,12
853,1667.6441837732161,8
854,1669.599217986315,13
855,1671.5542521994134,14
856,1673.5092864125122,11
857,1675.464320625611,14
858,1677.4193548387098,14
859,1679.3743890518085,14
860,1681.329423264907,7
861,1683.2844574780058,10
862,1685.2394916911046,10
863,1687.1945259042034,14
864,1689.1495601173021,9
865,1691.104594330401,14
866,1693.0596285434995,14
867,1695.0146627565982,11
868,1696.969696969697,12
869,1698.9247311827958,8
870,1700.8797653958945,7
871,1702.834799608993,15
872,1704.7898338220919,13
873,1706.7448680351906,9
874,1708.6999022482894,7
875,1710.6549364613882,13
876,1712.609970674487,9
877,1714.5650048875855,19
878,1716.5200391006842,8
879,1718.475073313783,10
880,1720.4301075268818,9
881,1722.3851417399806,15
882,1724.3401759530793,9
883,1726.2952101661779,9
884,1728.2502443792766,7
885,1730.2052785923754,12
886,1732.1603128054742,7
887,1734.115347018573,12
888,1736.0703812316715,9
889,1738.0254154447703,10
890,1739.980449657869,9
891,1741.9354838709678,9
892,1743.8905180840666,17
893,1745.8455522971653,11
894,1747.8005865102639,8
895,1749.7556207233627,3
896,1751.7106549364614,9
897,1753.6656891495602,13
898,1755.620723362659,6
899,1757.5757575757575,11
900,1759.5307917888563,6
901,1761.485826001955,10
902,1763.4408602150538,8
903,1765.3958944281526,9
904,1767.3509286412514,4
905,1769.30596285435,5
906,1771.2609970674487,15
907,1773.2160312805474,11
908,1775.1710654936462,8
909,1777.126099706745,4
910,1779.0811339198435,6
911,1781.0361681329423,6
912,1782.991202346041,13
913,1784.9462365591398,8
914,1786.9012707722386,4
915,1788.8563049853374,12
916,1790.811339198436,6
917,1792.7663734115347,9
918,1794.7214076246335,9
919,1796.6764418377322,11
920,1798.631476050831,10
921,1800.5865102639298,6
922,1802.5415444770283,8
923,1804.496578690127,7
924,1806.4516129032259,4
925,1808.4066471163246,9
926,1810.3616813294234,14
927,1812.316715542522,9
928,1814.2717497556207,6
929,1816.2267839687195,7
930,1818.1818181818182,5
931,1820.136852394917,8
932,1822.0918866080158,8
933,1824.0469208211143,4
934,1826.001955034213,15
935,1827.9569892473119,4
936,1829.9120234604106,5
937,1831.8670576735094,9
938,1833.822091886608,8
939,1835.7771260997067,13
940,1837.7321603128055,2
941,1839.6871945259043,10
942,1841.642228739003,7
943,1843.5972629521018,12
944,1845.5522971652003,10
945,1847.507331378299,6
946,1849.4623655913979,12
947,1851.4173998044967,5
948,1853.3724340175954,8
949,1855.327468230694,9
950,1857.2825024437927,5
951,1859.2375366568915,12
952,1861.1925708699903,7
953,1863.147605083089,11
954,1865.1026392961878,12
955,1867.0576735092864,7
956,1869.0127077223851,9
957,1870.967741935484,12
958,1872.9227761485827,10
959,1874.8778103616814,9
960,1876.8328445747802,5
961,1878.7878787878788,13
962,1880.7429130009775,13
963,1882.6979472140763,4
964,1884.652981427175,11
965,1886.6080156402738,14
966,1888.5630498533724,8
967,1890.5180840664711,7
968,1892.47311827957,11
969,1894.4281524926687,10
970,1896.3831867057675,12
971,1898.3382209188662,11
972,1900.2932551319648,3
973,1902.2482893450635,17
974,1904.2033235581623,8
975,1906.158357771261,13
976,1908.1133919843599,19
977,1910.0684261974584,12
978,1912.0234604105572,3
979,1913.978494623656,6
980,1915.9335288367547,19
981,1917.8885630498535,10
982,1919.8435972629522,20
983,1921.7986314760508,10
984,1923.7536656891496,11
985,1925.7086999022483,6
986,1927.663734115347,12
987,1929.6187683284459,16
988,1931.5738025415444,6
989,1933.5288367546432,6
990,1935.483870967742,16
991,1937.4389051808407,14
992,1939.3939393939395,19
993,1941.3489736070383,11
994,1943.3040078201368,12
995,1945.2590420332356,16
996,1947.2140762463343,9
997,1949.169110459433,14
998,1951.1241446725319,10
999,1953.0791788856304,8
1000,1955.0342130987292,9
1001,1956.989247311828,7
1002,1958.9442815249267,9
1003,1960.8993157380255,11
1004,1962.8543499511243,17
1005,1964.8093841642228,6
1006,1966.7644183773216,10
1007,1968.7194525904204,9
1008,1970.6744868035191,14
1009,1972.629521016618,8
1010,1974.5845552297167,12
1011,1976.5395894428152,13
1012,1978.494623655914,11
1013,1980.4496578690128,10
1014,1982.4046920821115,13
1015,1984.3597262952103,12
1016,1986.3147605083088,21
1017,1988.2697947214076,18
1018,1990.2248289345064,10
1019,1992.1798631476051,9
1020,1994.134897360704,15
1021,1996.0899315738027,12
1022,1998.0449657869012,13
1023,2000.0,12
